Press_Altitude(m),Pressure(hPa),BME_Temp(C),Humidity(%),Gas(KOhms),TMP117_Temp(C),Battery_Voltage,TimeSinceStart
1985.38,797.09,8.22,44.02,59.48,8.1953,0.35,1531078
2001.58,795.53,8.24,44.18,59.82,8.2109,0.35,1536081
2016.49,793.99,8.26,43.78,59.4,8.2344,0.35,1541076
2028.98,792.66,8.29,44.3,59.82,8.25,0.35,1546078
2040.17,791.51,8.31,43.74,59.78,8.2656,0.35,1551079
2050.96,790.43,8.33,44.26,59.48,8.2891,0.35,1556080
2061.86,789.37,8.36,43.72,59.52,8.3047,0.35,1561081
2073.08,788.28,8.38,43.71,59.69,8.3203,0.35,1566089
2084.11,787.19,8.4,43.69,59.61,8.3281,0.35,1571084
2094.75,786.14,8.42,43.72,59.61,8.3594,0.35,1576089
2106.01,785.06,8.44,44.2,59.48,8.375,0.34,1581086
2117.28,783.96,8.46,44.1,59.82,8.3984,0.35,1586087
2128.26,782.88,8.49,43.66,59.44,8.4141,0.35,1591089
2138.73,781.83,8.51,44.19,59.57,8.4297,0.35,1596096
2149.21,780.81,8.53,43.69,59.4,8.4531,0.35,1601091
2159.3,779.81,8.55,44.06,59.69,8.4687,0.35,1606092
2169.4,778.84,8.57,43.58,59.4,8.4766,0.34,1611094
2178.68,777.9,8.59,44.06,59.4,8.4922,0.34,1616095
2188.38,776.97,8.61,43.54,59.23,8.5156,0.34,1621100
2199.02,775.99,8.63,43.54,59.61,8.5312,0.34,1626103
2209.88,774.94,8.65,43.92,59.31,8.5391,0.34,1631098
2220.34,773.92,8.67,43.78,59.27,8.5547,0.34,1636100
2231.12,772.89,8.69,43.73,59.27,8.5781,0.34,1641101
2242.43,771.83,8.71,43.86,59.44,8.5859,0.34,1646102
2253.03,770.78,8.73,43.84,59.27,8.6094,0.34,1651103
2263.85,769.74,8.75,43.92,59.57,8.6094,0.34,1656111
2274.36,768.72,8.77,43.71,59.19,8.625,0.34,1661106
2285.83,767.66,8.78,43.42,59.48,8.6406,0.34,1666107
2297.72,766.53,8.8,43.4,59.27,8.6484,0.34,1671108
2310.68,765.35,8.81,43.59,59.36,8.6562,0.34,1676109
2325.64,764,8.83,43.37,59.4,8.6797,0.34,1681111
2340.52,762.57,8.84,43.82,59.27,8.6875,0.34,1686118
2355.74,761.13,8.86,43.78,59.52,8.7031,0.34,1691113
2369.72,759.75,8.87,43.3,59.57,8.7109,0.34,1696114
2381.51,758.53,8.89,43.7,59.02,8.7187,0.34,1701115
2392.15,757.48,8.9,43.27,59.48,8.7344,0.34,1706117
2402.8,756.47,8.92,43.65,59.57,8.7422,0.34,1711118
2413.57,755.46,8.93,43.26,59.57,8.7578,0.33,1716129
2423.72,754.46,8.95,43.59,59.44,8.7656,0.33,1721120
2433.56,753.52,8.96,43.17,59.4,8.7734,0.33,1726121
2443.09,752.61,8.97,43.56,59.48,8.7891,0.33,1731123
2452.32,751.73,8.98,43.16,59.65,8.7891,0.34,1736124
2461.76,750.84,8.99,43.54,59.15,8.7969,0.33,1741125
2471,749.96,9,43.5,59.61,8.8047,0.34,1746132
2480.47,749.09,9.02,43.44,59.48,8.8125,0.34,1751128
2489.94,748.2,9.02,43.39,59.44,8.8125,0.33,1756129
2499.53,747.3,9.03,43.61,59.48,8.8281,0.34,1761134
2509.44,746.38,9.04,43.54,59.57,8.8281,0.34,1766131
2519.58,745.44,9.06,43.55,59.69,8.8437,0.34,1771132
2529.63,744.5,9.06,43.43,59.44,8.8359,0.34,1776140
2539.25,743.58,9.07,43.37,59.65,8.8437,0.34,1781135
2548.57,742.7,9.08,42.96,59.74,8.8594,0.33,1786136
2558.1,741.82,9.08,43.29,59.86,8.8672,0.33,1791137
2568.08,740.9,9.09,43.38,59.44,8.8594,0.33,1796139
2577.74,739.99,9.1,43.45,59.36,8.8672,0.33,1801140
2587.74,739.08,9.1,42.92,59.52,8.875,0.33,1806147
2597.85,738.15,9.11,42.84,59.48,8.875,0.33,1811142
2609.49,737.12,9.11,42.83,59.52,8.8672,0.33,1816143
2623.72,735.91,9.11,42.81,59.69,8.875,0.33,1821145
2637.87,734.59,9.11,43.2,59.82,8.875,0.33,1826146
2651.72,733.3,9.12,43.18,59.69,8.875,0.33,1831147
2666.13,731.99,9.12,43.31,59.74,8.875,0.34,1836154
2680.12,730.68,9.13,43.24,59.61,8.8828,0.33,1841149
2693.15,729.45,9.13,43.26,59.69,8.8828,0.33,1846151
2705.66,728.27,9.13,43.03,59.78,8.8828,0.33,1851152
2716.66,727.2,9.13,43.04,59.65,8.875,0.33,1856157
2726.69,726.24,9.13,43.03,59.86,8.875,0.33,1861154
2736.51,725.34,9.13,43.15,59.99,8.875,0.33,1866162
2746.35,724.43,9.13,42.99,59.74,8.875,0.33,1871157
2755.75,723.55,9.13,42.55,59.78,8.8672,0.33,1876158
2764.83,722.71,9.12,42.95,59.91,8.8594,0.33,1881159
2773.38,721.91,9.12,43.01,59.86,8.8516,0.33,1886160
2782.26,721.11,9.11,42.95,59.82,8.8437,0.32,1891162
2791.15,720.3,9.11,42.87,59.82,8.8359,0.32,1896169
2800.49,719.48,9.1,43.01,59.86,8.8281,0.32,1901168
2809.72,718.63,9.1,42.85,60.08,8.8281,0.32,1906165
2819.08,717.78,9.09,43.01,60.08,8.8125,0.33,1911166
2828.22,716.94,9.08,42.97,60.25,8.8125,0.33,1916168
2837.59,716.1,9.08,42.42,59.99,8.7969,0.32,1921169
2846.75,715.26,9.07,42.61,59.99,8.7891,0.33,1926176
2855.59,714.45,9.06,42.4,60.16,8.7812,0.32,1931171
2864.88,713.63,9.05,42.95,60.29,8.7734,0.33,1936173
2874.73,712.76,9.04,42.38,60.12,8.75,0.32,1941174
2885.04,711.85,9.02,42.93,60.12,8.75,0.33,1946179
2895.68,710.9,9.01,42.87,60.16,8.7422,0.33,1951176
2907.01,709.91,9.01,42.35,60.21,8.7266,0.32,1956184
2918.46,708.88,8.99,42.89,60.21,8.7266,0.32,1961179
2929.37,707.88,8.98,42.33,60.21,8.7109,0.32,1966180
2939.84,706.92,8.97,42.31,60.38,8.7109,0.32,1971181
2949.99,705.99,8.96,42.79,60.34,8.6875,0.33,1976182
2960.27,705.08,8.95,42.28,60.51,8.6719,0.32,1981184
2970.77,704.15,8.94,42.84,60.6,8.6562,0.32,1986191
2981.29,703.21,8.93,42.84,60.47,8.6641,0.32,1991186
2992.5,702.23,8.91,42.24,60.34,8.6484,0.32,1996191
3003.49,701.25,8.9,42.28,60.42,8.625,0.32,2001188
3014.15,700.28,8.88,42.67,60.34,8.6172,0.31,2006190
3024.61,699.34,8.87,42.53,60.42,8.6016,0.32,2011191
3035.3,698.41,8.85,42.64,60.64,8.5937,0.33,2016198
3045.66,697.47,8.84,42.58,60.64,8.5781,0.32,2021193
3056.04,696.55,8.82,42.77,60.73,8.5625,0.32,2026194
3066.42,695.63,8.81,42.18,60.73,8.5469,0.32,2031196
3077.27,694.69,8.79,42.61,60.55,8.5391,0.32,2036197
3088.36,693.71,8.78,42.18,60.64,8.5234,0.32,2041202
3099.46,692.74,8.77,42.6,60.77,8.5078,0.32,2046205
3110.46,691.76,8.75,42.48,60.9,8.4844,0.32,2051201
3121.81,690.78,8.74,42.58,60.77,8.4844,0.32,2056202
3133.06,689.77,8.72,42.72,60.77,8.4687,0.32,2061203
3144.33,688.79,8.71,42.65,60.73,8.4531,0.32,2066204
3155.38,687.82,8.69,42.12,61.08,8.4375,0.32,2071205
3165.99,686.86,8.68,42.57,60.9,8.4375,0.32,2076213
3176.6,685.93,8.66,42.14,60.95,8.4141,0.32,2081208
3187.58,684.99,8.65,42.66,61.04,8.3984,0.32,2086213
3198.79,684.02,8.63,42.46,61.04,8.3906,0.32,2091210
3210.13,683.03,8.61,42.61,60.9,8.375,0.32,2096211
